Gene,Entrez Gene,Fold
,25,
,196,
,207,
,301,
,367,
,369,
,466,
,472,
,545,
,571,
,572,
,578,
,580,
,580,
,581,
,595,
,596,
,637,
,641,
,657,
,659,
,672,
,673,
,675,
,836,
,841,
,842,
,993,
,993,
,994,
,998,
,999,
,1017,
,1019,
,1022,
,1111,
,1147,
,1263,
,1263,
,1385,
,1453,
,1499,
,1588,
,1605,
,1647,
,1869,
,1869,
,1956,
,2033,
,2099,
,2197,
,2241,
,2308,
,2355,
,2475,
,2664,
,2896,
,2931,
,2956,
,3065,
,3065,
,3156,
,3612,
,3667,
,3716,
,3725,
,3725,
,3845,
,4086,
,4087,
,4089,
,4091,
,4092,
,4149,
,4193,
,4312,
,4361,
,4436,
,4609,
,4609,
,4661,
,4664,
,4763,
,4790,
,4953,
,5058,
,5245,
,5284,
,5296,
,5347,
,5371,
,5569,
,5594,
,5728,
,5879,
,5888,
,5898,
,5906,
,5925,
,6009,
,6010,
,6010,
,6237,
,6597,
,6667,
,6772,
,6790,
,6794,
,7035,
,7046,
,7048,
,7157,
,7175,
,7248,
,7248,
,7249,
,7422,
,7465,
,7517,
,8061,
,8202,
,8438,
,8554,
,8717,
,8772,
,8772,
,8846,
,9175,
,9958,
,10111,
,10454,
,10557,
,10600,
,10811,
,10913,
,11036,
,11200,
,23077,
,23400,
,23411,
,23613,
,25780,
,26284,
,27005,
,27145,
,28996,
,29124,
,55526,
,55671,
,56911,
,57178,
,57223,
,57820,
,58515,
,60489,
,64781,
,64781,
,79027,
,79877,
,79902,
,80271,
,84640,
,140739,
,152789,
,221002,
,253959,
,406991,
,407024,
,407025,
,441432,
,100505735,
