Node Name,Entrez Gene ID,source,source id,type,,
TGFB1,7040,GO,GO:0001933,biological process,,
TGFB1,7040,GO,GO:0001934,biological process,,
TGFB1,7040,GO,GO:0002028,biological process,,
TGFB1,7040,GO,GO:0002062,biological process,,
TGFB1,7040,GO,GO:0002244,biological process,,
TGFB1,7040,GO,GO:0002248,biological process,,
TGFB1,7040,GO,GO:0002460,biological process,,
TGFB1,7040,GO,GO:0002513,biological process,,
TGFB1,7040,GO,GO:0002576,biological process,,
TGFB1,7040,GO,GO:0006468,biological process,,
TGFB1,7040,GO,GO:0006611,biological process,,
TGFB1,7040,GO,GO:0006754,biological process,,
TGFB1,7040,GO,GO:0006796,biological process,,
TGFB1,7040,GO,GO:0006874,biological process,,
TGFB1,7040,GO,GO:0006954,biological process,,
TGFB1,7040,GO,GO:0007050,biological process,,
TGFB1,7040,GO,GO:0007093,biological process,,
TGFB1,7040,GO,GO:0007173,biological process,,
TGFB1,7040,GO,GO:0007179,biological process,,
TGFB1,7040,GO,GO:0007182,biological process,,
TGFB1,7040,GO,GO:0007183,biological process,,
TGFB1,7040,GO,GO:0007184,biological process,,
TGFB1,7040,GO,GO:0007406,biological process,,
TGFB1,7040,GO,GO:0007435,biological process,,
TGFB1,7040,GO,GO:0007492,biological process,,
TGFB1,7040,GO,GO:0007565,biological process,,
TGFB1,7040,GO,GO:0007568,biological process,,
TGFB1,7040,GO,GO:0007596,biological process,,
TGFB1,7040,GO,GO:0008156,biological process,,
TGFB1,7040,GO,GO:0008219,biological process,,
TGFB1,7040,GO,GO:0008283,biological process,,
TGFB1,7040,GO,GO:0008284,biological process,,
TGFB1,7040,GO,GO:0008285,biological process,,
TGFB1,7040,GO,GO:0008354,biological process,,
TGFB1,7040,GO,GO:0009314,biological process,,
TGFB1,7040,GO,GO:0009611,biological process,,
TGFB1,7040,GO,GO:0009749,biological process,,
TGFB1,7040,GO,GO:0009790,biological process,,
TGFB1,7040,GO,GO:0009817,biological process,,
TGFB1,7040,GO,GO:0010033,biological process,,
TGFB1,7040,GO,GO:0010575,biological process,,
TGFB1,7040,GO,GO:0010628,biological process,,
TGFB1,7040,GO,GO:0010718,biological process,,
TGFB1,7040,GO,GO:0010742,biological process,,
TGFB1,7040,GO,GO:0010763,biological process,,
TGFB1,7040,GO,GO:0010800,biological process,,
TGFB1,7040,GO,GO:0010862,biological process,,
TGFB1,7040,GO,GO:0010936,biological process,,
TGFB1,7040,GO,GO:0014070,biological process,,
TGFB1,7040,GO,GO:0016049,biological process,,
TGFB1,7040,GO,GO:0016202,biological process,,
TGFB1,7040,GO,GO:0017015,biological process,,
TGFB1,7040,GO,GO:0019048,biological process,,
TGFB1,7040,GO,GO:0019049,biological process,,
TGFB1,7040,GO,GO:0019058,biological process,,
TGFB1,7040,GO,GO:0022408,biological process,,
TGFB1,7040,GO,GO:0030168,biological process,,
TGFB1,7040,GO,GO:0030198,biological process,,
TGFB1,7040,GO,GO:0030214,biological process,,
TGFB1,7040,GO,GO:0030217,biological process,,
TGFB1,7040,GO,GO:0030279,biological process,,
TGFB1,7040,GO,GO:0030308,biological process,,
TGFB1,7040,GO,GO:0030334,biological process,,
TGFB1,7040,GO,GO:0030335,biological process,,
TGFB1,7040,GO,GO:0030501,biological process,,
TGFB1,7040,GO,GO:0030512,biological process,,
TGFB1,7040,GO,GO:0030879,biological process,,
TGFB1,7040,GO,GO:0031065,biological process,,
TGFB1,7040,GO,GO:0031100,biological process,,
TGFB1,7040,GO,GO:0031334,biological process,,
TGFB1,7040,GO,GO:0031536,biological process,,
TGFB1,7040,GO,GO:0031663,biological process,,
TGFB1,7040,GO,GO:0032270,biological process,,
TGFB1,7040,GO,GO:0032355,biological process,,
TGFB1,7040,GO,GO:0032570,biological process,,
TGFB1,7040,GO,GO:0032740,biological process,,
TGFB1,7040,GO,GO:0032801,biological process,,
TGFB1,7040,GO,GO:0032930,biological process,,
TGFB1,7040,GO,GO:0032943,biological process,,
TGFB1,7040,GO,GO:0032967,biological process,,
TGFB1,7040,GO,GO:0033138,biological process,,
TGFB1,7040,GO,GO:0033280,biological process,,
TGFB1,7040,GO,GO:0034616,biological process,,
TGFB1,7040,GO,GO:0035066,biological process,,
TGFB1,7040,GO,GO:0035307,biological process,,
