Gene,Entrez,Fold change
COL6A2,1292,-0.8334234
JADE1,79960,-0.8331932
PLA2G12A,81579,-0.8324155
DDX17,10521,-0.8322194
SF1,7536,-0.8316395
NXF1,10482,-0.8315099
MLANA,2315,-0.8289624
FAM63B,54629,-0.8268869
ZNF586,54807,-0.8261444
CASC4,113201,-0.825832
NOL10,79954,-0.8254653
TNFRSF14,8764,-0.8254308
LOC401320,401320,-0.8245065
AFMID,125061,-0.8243714
NRIP1,8204,-0.8235993
DOCK8,81704,-0.8230826
C5orf45,51149,-0.8209282
GUSBP4,375513,-0.8207274
PDCD6IP,10015,-0.819829
ZAN,7455,-0.8191495
JMY,133746,-0.818494
GLB1L,79411,-0.8174037
FBXL4,26235,-0.8160479
UBE2Q2P1,388165,-0.8146506
ACACB,32,-0.8142099
FAM134B,54463,-0.8137281
ZDHHC22,283576,-0.8136367
LRTOMT,220074,-0.8135376
CLN5,1203,-0.8122718
TSPAN32,10077,-0.8122293
KRT19P2,160313,-0.8083835
C20orf173,140873,-0.8075559
TRIM5,85363,-0.8074809
DNAJC12,56521,-0.8073493
CFAP44,55779,-0.8070363
FREM1,158326,-0.8062001
GYPC,2995,-0.8060706
C11orf70,85016,-0.8058235
ZNF10,7556,-0.8043689
POM121,9883,-0.8036497
FUT7,2529,-0.8035053
ENOSF1,55556,-0.8031029
GIMD1,100507096,-0.8029854
PHOSPHO2,493911,-0.801389
BBIP1,92482,-0.8013189
CSF1,1435,-0.7999807
KIF17,57576,-0.7992364
CLDN9,9080,-0.7989108
EHF,26298,-0.7974051
SPRY2,10253,-0.79524
SVEP1,79987,-0.794714
APLN,8862,-0.7935731
FGFR1,2260,-0.7933509
SFXN5,94097,-0.7927398
AQP3,360,-0.7926682
CD302,9936,-0.7925125
TYW1,55253,-0.7897954
DOK4,55715,-0.7897186
ASXL3,80816,-0.7894373
PPP1R3E,90673,-0.7888345
GABARAPL1,23710,-0.7885715
LENG8,114823,-0.7883668
HEIH///LINC00847,100859930,-0.7870681
TMEM116,89894,-0.7864812
IGBP1,3476,-0.7844083
HCG4B,80868,-0.7843154
LRGUK,136332,-0.7836567
MAP3K1,4214,-0.7835584
CCDC39,339829,-0.7834131
TEF,7008,-0.7831535
NECAB3,63941,-0.7819181
TTC21A,199223,-0.7813099
HOMEZ,57594,-0.7806209
NUMB,8650,-0.7800598
CHL1-AS1,101927193,-0.7786294
KRT13,3860,-0.7756838
SMAD4,4089,-0.7749944
CORT,1325,-0.7735971
PHYHIP,9796,-0.7732072
SNX21,90203,-0.7731606
PHYHD1,254295,-0.7717762
LENG9,94059,-0.7703885
ADIPOQ,9370,-0.7687844
PRG4,10216,-0.7685205
ANXA3,306,-0.7672242
FAM63A,55793,-0.7659282
ELOVL5,60481,-0.7658359
C2orf27A,29798,-0.7656947
ADCYAP1R1,117,-0.7653985
EPHX2,2053,-0.765291
BEST3,144453,-0.7649848
MAST4,375449,-0.7611027
GUCA1B,2979,-0.7610805
GON4L,54856,-0.760721
SLC13A2,9058,-0.7605596
GPR68,8111,-0.7589436
SGTA,6449,-0.7583764
ZNF862,643641,-0.7568162
IKBKB,3551,-0.7562386
GPR157,80045,-0.7560338
RAB11FIP2,22841,-0.7560007
MMRN2,79812,-0.7557422
TM6SF1,53346,-0.7553719
RPS16P5///ELOVL5,647190,-0.7545988
ANKRD33,341405,-0.7540565
ERMARD,55780,-0.7539679
CLMN,79789,-0.7538661
FAM13B,51306,-0.7538336
RSRP1,57035,-0.7533802
SLC24A1,9187,-0.7528186
SIGLEC7,27036,-0.7510232
CRYGS,1427,-0.7500136
FAM208A,23272,-0.7498604
ODF4,146852,-0.7488116
CPB2,1361,-0.7480555
NHLRC2,374354,-0.7462433
YLPM1,56252,-0.744951
PHLPP1,23239,-0.7447248
ARHGEF3,50650,-0.7432571
SMIM8,57150,-0.7428518
MLH3,27030,-0.7392673
YPEL4,219539,-0.7379183
FBXO8,26269,-0.7378147
PCCA,5095,-0.7371537
CALCOCO1,57658,-0.7370844
PAN3,255967,-0.7358005
KCNC2,3747,-0.7356717
SHISA9,729993,-0.7353646
ARL17A,51326,-0.7336483
SPG11,80208,-0.7334458
TM2D3,80213,-0.7331234
TTC39C,125488,-0.7314486
RANBP10,57610,-0.7288784
MS4A5,64232,-0.7288234
DUSP1,1843,-0.7286872
EFHC1,114327,-0.727195
DOT1L,84444,-0.7268738
ZDHHC17,23390,-0.7267567
C1orf21,81563,-0.7265608
LOC650293,650293,-0.7255541
KIAA1671,85379,-0.725353
NAIF1,203245,-0.7239493
RHOT1,55288,-0.7235892
ZNF587,84914,-0.723489
NPHP3,27031,-0.7233411
ITPR2,3709,-0.7231718
ITPRIPL1,150771,-0.7207915
CRHR1,1394,-0.7196958
CSNK1A1,1452,-0.7195577
MMP17,4326,-0.7193125
USP8,9101,-0.718209
CPNE9,151835,-0.7178367
EPS8L3,79574,-0.7176165
TPSD1,23430,-0.7172893
HEXDC,284004,-0.7168682
SPTLC3,55304,-0.7150749
GABRR3,200959,-0.7148765
GATAD1,57798,-0.7138019
ELMOD3,84173,-0.7138007
TBC1D4,9882,-0.7129925
TP53AIP1,63970,-0.7129372
GRB10,2887,-0.7123876
CNBP,7555,-0.7122538
PDXDC2P,283970,-0.7107474
LCAT,3931,-0.7097217
SYCN,342898,-0.7097077
ZNRD1-AS1,80862,-0.7093846
SHPRH,257218,-0.709238
TSC22D1,8848,-0.7085223
KLK2,3817,-0.7034713
DDO,8528,-0.702824
HDAC5,10014,-0.7021822
TLR4,7099,-0.7006355
EIF4B,1975,-0.7004154
RORC,6097,-0.7001376
DMBX1,127343,-0.6998638
OR3A3,8392,-0.6993692
NHLRC3,387921,-0.6989737
EVI5,7813,-0.6986894
GUSBP11,91316,-0.6984267
TAF8,129685,-0.6974028
FCRL4,83417,-0.697358
MMP28,79148,-0.6971133
CYP1A2,1544,-0.6970512
LOC730102,730102,-0.6965909
KDSR,2531,-0.6962402
NAA30,122830,-0.6956764
IKZF4,64375,-0.6954306
ZBTB16,7704,-0.6944547
SIRT3,23410,-0.6939122
LOC101927211,101927211,-0.6930083
PHLDA3,23612,-0.6925924
SNX33,257364,-0.6923998
BOD1L1,259282,-0.6923894
NCKAP5L,57701,-0.6907651
RHOXF2,84528,-0.6875286
SMARCC2,6601,-0.6844967
WNT4,54361,-0.6836877
BCL2L11,10018,-0.6835157
LRRC37BP1,147172,-0.6829491
BLID,414899,-0.6822884
CRTAC1,55118,-0.6815706
RPL13,6137,-0.681235
PRPF38B,55119,-0.6807866
P4HA3,283208,-0.6803022
FANCM,57697,-0.6801387
RBM33,155435,-0.6794344
S1PR3,1903,-0.6789611
YTHDC2,64848,-0.6787356
SLC7A3,84889,-0.6779146
TTC17,55761,-0.6763437
C1orf56,54964,-0.6760892
ZNF595,152687,-0.6758236
PLA2G2D,26279,-0.6743007
ADAMTS10,81794,-0.6739303
CLCNKB,1188,-0.673347
MGEA5,10724,-0.6730593
PIAS3,10401,-0.6729786
TMC8,147138,-0.6713331
HAAO,23498,-0.6707988
PAPD4,167153,-0.6705136
KRTAP10-10,353333,-0.670137
PDLIM7,9260,-0.6699719
HAPLN4,404037,-0.6683151
PTK2B,2185,-0.6679055
OR10H2,26538,-0.6678458
KAT7,11143,-0.6674778
FCRLB,127943,-0.6662671
FAM160A2,84067,-0.6655023
H2BFXP,767811,-0.6651729
ARIH2,10425,-0.6650174
MGC70870,403340,-0.664133
TRPM3,80036,-0.663182
GOLGA6A,342096,-0.6625854
GGTLC2,91227,-0.6617812
ZMAT3,64393,-0.6611284
ZFHX2,85446,-0.6610043
C11orf42,160298,-0.6605911
TBC1D3P5,440419,-0.6600005
FAM133B,257415,-0.6597842
BRWD3,254065,-0.657805
HOXD9,3235,-0.6570517
KLHL2,11275,-0.6555447
EFNB3,1949,-0.6554091
RAB26,25837,-0.6547525
USP29,57663,-0.6539357
MYL7,58498,-0.653884
PCM1,5108,-0.6531564
LPIN3,64900,-0.653067
KBTBD7,84078,-0.6521087
AMER2,219287,-0.6509799
LINC00837,100507605,-0.6508339
MYC,4609,-0.6505675
FAM134A,79137,-0.6502339
CEP83-AS1,144486,-0.6501912
CABP4,57010,-0.6485984
LOC643201,643201,-0.6481956
PDS5B,23047,-0.6468241
ALAD,210,-0.6462416
PRRG3,79057,-0.6448761
EBF4,57593,-0.6437148
GPS2,2874,-0.6432387
MXD3,83463,-0.6422496
LGALS9C,654346,-0.6413288
SLC35E2B,728661,-0.6411999
TFAP2E,339488,-0.6410938
NLRC3,197358,-0.6409656
DCAKD,79877,-0.6405594
ARMCX1,51309,-0.6399433
XAB2,56949,-0.6395418
LOC100287869,100287869,-0.6383562
SIRPA,140885,-0.6382979
HMHB1,57824,-0.6371096
KLHL28,54813,-0.6344311
SYT9,143425,-0.6341039
CALML6,163688,-0.6340632
CCDC108,255101,-0.6334457
ATG4B,23192,-0.6332393
GGT5,2687,-0.6331956
FOXJ1,2302,-0.6329338
RANGRF,29098,-0.6326049
CYP2B6,1555,-0.6324194
TRMT2A,27037,-0.631412
PARK2,5071,-0.6296237
PIPOX,51268,-0.6294752
SLC47A1,55244,-0.6288324
FGR,2268,-0.6270295
ZNF506,440515,-0.6269707
SNX25,83891,-0.6268136
ACSF3,197322,-0.6263606
IL16,3603,-0.6261812
TNXB,7148,-0.6257066
TRAPPC11,60684,-0.6256909
CHD6,84181,-0.6255108
AGAP7P,653268,-0.6251503
MPHOSPH8,54737,-0.6250375
CCDC113,29070,-0.6249596
ZNF471,57573,-0.6247729
INF2,64423,-0.6224752
CHD9,80205,-0.6220304
PRDM11,56981,-0.6216004
SMARCA1,6594,-0.6215836
HTR1B,3351,-0.619406
KCNK9,51305,-0.6186046
LHFPL4,375323,-0.6176292
KLF1,10661,-0.6174801
POC5,134359,-0.6174041
EDC4,23644,-0.6173349
CEACAM19,56971,-0.6167007
WNT5B,81029,-0.613872
ZFP36L2,678,-0.6134789
EXOC3L2,90332,-0.6133986
TNFAIP8L1,126282,-0.6133764
SFXN4,119559,-0.613015
NDUFB2-AS1,100134713,-0.6126518
MESTIT1,317751,-0.6120466
SHROOM3,57619,-0.6093378
RPL34,6164,-0.6080084
ASMTL,8623,-0.6058873
LINC00162,378825,-0.6055318
PABPC5,140886,-0.6027132
FRA10AC1,118924,-0.6024789
OR51B5,282763,-0.6017049
ABHD16B,140701,-0.6016196
CTNND1,1500,-0.6011991
KRT74,121391,-0.5999793
CRP,1401,-0.5985867
TSSK6,83983,-0.5980666
LOC93622,93622,-0.5975153
FAM212B,55924,-0.5973999
TNR,7143,-0.5959554
CCDC66,285331,-0.5956249
H6PD,9563,-0.5953577
LOC100506548,100506548,-0.5938469
DHRS7B,25979,-0.5936454
VPRBP,9730,-0.5933577
CCDC125,202243,-0.5931931
RLN3,117579,-0.5931138
FOLR2,2350,-0.5927883
ANKFN1,162282,-0.5925413
PCDH1,5097,-0.59207
NSD1,64324,-0.5917652
CEP120,153241,-0.5903757
ZNF514,84874,-0.589942
LCMT1-AS2,100506655,-0.5886789
ZNF330,27309,-0.5866284
LGI3,203190,-0.5858418
TIGD6,81789,-0.5855858
TRMT2B,79979,-0.5841694
TMC2,117532,-0.5833359
INADL,10207,-0.5827203
WIPF2,147179,-0.5815516
UBL4A,8266,-0.5809213
ERVH-6,51581,-0.5805657
IGF2BP1,10642,-0.5792242
HIPK2,28996,-0.5790541
LINC01101,84931,-0.5790448
HSD17B1,3292,-0.5786958
MED16,10025,-0.5782889
LOC101928327,101928327,-0.5769616
MAT1A,4143,-0.5765745
LOC100508226,100508226,-0.5756967
SIDT2,51092,-0.5751076
C10orf32,119032,-0.574974
CCDC180,100499483,-0.5745191
CLASP2,23122,-0.5736348
CHRM1,1128,-0.5730064
NFAT5,10725,-0.5727851
CPTP,80772,-0.5725072
SERINC1,57515,-0.5720795
LOC101927181,101927181,-0.5715991
KANSL1,284058,-0.5708786
NLRP14,338323,-0.5701951
ZNF225,7768,-0.569599
SMARCA2,6595,-0.5690665
LOC100132363,100132363,-0.5690015
NEK8,284086,-0.5682878
WDR6,11180,-0.5675813
ARHGEF1,9138,-0.5654596
HAP1,9001,-0.5651797
KRTAP2-3,730755,-0.5650526
CCDC28A,25901,-0.5649959
HLA-E,3133,-0.5644897
GPRC5C,55890,-0.5631632
C9orf163,158055,-0.5629917
HAGLR,401022,-0.5628516
ART5,116969,-0.5623754
LINC00593,414926,-0.5622582
C1QTNF1,114897,-0.5620463
IRF7,3665,-0.5616366
GALNT9,50614,-0.5612864
BARHL2,343472,-0.5609914
ERVW-1,30816,-0.5604344
CSH1,1442,-0.5599383
OR1F1,4992,-0.5599198
CPLX2,10814,-0.5590516
MUTYH,4595,-0.5584096
LINC00965,349196,-0.557327
GPBP1,65056,-0.5568688
TGFB1,7040,-0.5563629
TRIM10,10107,-0.5561114
SLC8A2,6543,-0.5560184
LOC103344931,103344931,-0.5558951
TBC1D2B,23102,-0.5557648
CNOT4,4850,-0.5554118
KCTD2,23510,-0.5552089
TMEM243,79161,-0.5550141
CD209,30835,-0.5521548
NKTR,4820,-0.5520182
KRTAP8-1,337879,-0.551298
ELL,8178,-0.5511906
NAPSA,9476,-0.551118
SH2D5,400745,-0.5503627
MOS,4342,-0.5483926
OR8D1,283159,-0.5483424
ZNF283,284349,-0.5483019
CCDC132,55610,-0.5478366
PLA2G4D,283748,-0.5476653
C11orf72,100505621,-0.5456834
MSX1,4487,-0.5444006
CACYBP,27101,-0.5443476
RSPH9,221421,-0.5435386
CAMKK1,84254,-0.541735
TTC28,23331,-0.5406293
LRIT1,26103,-0.5395499
UBR1,197131,-0.5387216
BIN1,274,-0.5381173
MYO15B,80022,-0.5379158
OR4D2,124538,-0.5360645
XCR1,2829,-0.5351227
GDF6,392255,-0.5348653
BTNL9,153579,-0.5342961
TMIGD2,126259,-0.5325038
ZNF714,148206,-0.5321795
RASSF2,9770,-0.5319049
ADAMTS13,11093,-0.531342
SYT8,90019,-0.530827
NLGN2,57555,-0.530419
NDST2,8509,-0.5301897
DCAF10,79269,-0.5298503
APOC4,346,-0.529023
FLT4,2324,-0.5269331
CCR3,1232,-0.5267557
C17orf74,201243,-0.5267114
CEACAM4,1089,-0.5245115
ZNF208,7757,-0.5241223
C8orf34,116328,-0.5237583
LOC400590,400590,-0.523613
RTP5,285093,-0.5234847
C8orf31,286122,-0.5233398
C21orf88,114041,-0.5230713
SPATA31E1,286234,-0.5227784
CPNE6,9362,-0.5213591
TMBIM4,51643,-0.5206739
PCP2,126006,-0.5206225
LCE2D,353141,-0.5193049
HHIPL1,84439,-0.5189467
ARTN,9048,-0.5187033
PRCD,768206,-0.5175194
C6orf25,80739,-0.5170833
OPTC,26254,-0.5163537
LOC100190986,100190986,-0.5163339
PEAR1,375033,-0.5160099
C1QTNF2,114898,-0.5156709
GGA2,23062,-0.5145097
CECR7,100130418,-0.5144908
LINC00622,644242,-0.513587
VIL1,7429,-0.5132996
IGHA2///IGHA1///IGH,3494,-0.5129395
PRR18,285800,-0.512321
KCNE1,3753,-0.5111162
LCE2A,353139,-0.5107146
EPHX3,79852,-0.5092846
ALPPL2,251,-0.5084438
LTC4S,4056,-0.5081497
EVA1B,55194,-0.5068392
OSBPL9,114883,-0.5059584
N4BP2L2,10443,-0.5056277
HID1,283987,-0.5050435
CDHR5,53841,-0.5046261
RPL14,9045,-0.5044611
SLAMF9,89886,-0.504127
MMP15,4324,-0.50389
LINC00671,388387,-0.503437
GIPC3,126326,-0.5026943
BAALCOS,157556,-0.5025482
PP14571,100130449,-0.5013251
ZRSR1,7310,-0.5012041
ZNF568,374900,-0.500205
ANKHD1,54882,-0.498818
ZNF182,7569,-0.4986385
DPH5,51611,-0.4985649
ALG13,79868,-0.4978688
LRRC16B,90668,-0.4971177
SIRPB1,10326,-0.4965524
PCIF1,63935,-0.4957051
RELL2,285613,-0.4950686
ELFN2,114794,-0.4928924
SLC6A7,6534,-0.4926772
SIGLEC6,946,-0.4917047
EPHB6,2051,-0.4908918
TRAF3IP1,26146,-0.490506
ZBTB48,3104,-0.4902206
C14orf144,145195,-0.4900173
TMEM239,100288797,-0.4900019
SNTA1,6640,-0.4890418
LONRF3,79836,-0.4870849
C1orf158,93190,-0.4858638
FLYWCH1,84256,-0.485038
CASZ1,54897,-0.4838
SLC39A5,283375,-0.48251
SH3BP2,6452,-0.479947
LCE2C,353140,-0.4781724
C3orf17,25871,-0.477888
LOC101927827,101927827,-0.4773885
MAPK3,5595,-0.4767102
CTBP2,1488,-0.4766794
KCNK7,10089,-0.4761594
SPSB3,90864,-0.4755018
SPEN,23013,-0.474113
CASP8,841,-0.4730218
RAB3B,5865,-0.4730076
THUMPD1,55623,-0.4729757
TMEM255B,348013,-0.4728732
TCF15,6939,-0.4714847
ERN1,2081,-0.4713967
GPD1,2819,-0.4712648
NSRP1,84081,-0.4711151
UBL3,5412,-0.4711138
C19orf80,55908,-0.4707456
HHLA3,11147,-0.4702112
SPACA5,389852,-0.4699038
PWWP2B,170394,-0.4697317
SLC22A14,9389,-0.4696177
SCARF2,91179,-0.4688842
ATF7,11016,-0.4686784
PTGER1,5731,-0.4685473
FER1L6-AS1,439941,-0.4679943
NOVA2,4858,-0.4648593
C4orf17,84103,-0.4644743
FAM104A,84923,-0.4630342
PHF1,5252,-0.462871
FAM151A,338094,-0.461974
TBC1D10A,83874,-0.4618069
OR8U1,219417,-0.4593451
MKLN1,4289,-0.4579599
CFAP36,112942,-0.4578763
TEX13B,56156,-0.4558957
HERC2P2,400322,-0.4557328
LOC100133299,100133299,-0.4556973
SMARCD3,6604,-0.455586
SLC45A1,50651,-0.4551859
CLUH,23277,-0.4543316
LINC00527,54748,-0.4539447
PHF3,23469,-0.453379
FAM86B3P,286042,-0.4529693
BTNL2,56244,-0.4521191
USP33,23032,-0.4520392
LSAMP,4045,-0.4499301
SPRN,503542,-0.4498082
HBBP1,3044,-0.4496231
ZFP64,55734,-0.4493488
FZR1,51343,-0.4490466
ZNF768,79724,-0.4489393
SIX5,147912,-0.4483775
PTCHD2,57540,-0.4478342
GRASP,160622,-0.4469447
CRY2,1408,-0.4466376
SPTB,6710,-0.4453966
FIRRE,286467,-0.4452808
ACADS,35,-0.4444862
SLC22A7,10864,-0.4430146
SCARA5,286133,-0.4425881
NOS1,4842,-0.441604
COL27A1,85301,-0.4413657
ERCC2,2068,-0.4406513
ART1,417,-0.4391795
RRAD,6236,-0.4387285
CCDC8,83987,-0.4386459
NUCB1,4924,-0.4377165
CHRNB2,1141,-0.4373862
IGLON5,402665,-0.4373328
CRYGN,155051,-0.4371581
FAM131C,348487,-0.4370909
LOC100129115,100129115,-0.4365757
TOX4,9878,-0.4359883
DNAH3,55567,-0.4350774
GPR17,2840,-0.4344035
ATF6B,1388,-0.434385
LCE3A,353142,-0.4339114
C21orf62,56245,-0.4336699
DYRK1A,1859,-0.4323213
HES2,54626,-0.4302867
YAE1D1,57002,-0.4298522
DNAJB8,165721,-0.4292731
SLC11A1,6556,-0.4288422
SLC35G5,83650,-0.4284131
SCRN2,90507,-0.4278463
FZD10-AS1,440119,-0.4266566
ATP6V0A1,535,-0.4255452
PCSK1N,27344,-0.4248392
ZNF732,654254,-0.4243875
SMCR5,140771,-0.4230811
FNDC3A,22862,-0.4228819
NAGS,162417,-0.4223986
ZNF652,22834,-0.421788
LOC100130456,100130456,-0.4208839
LOC100130152,100130152,-0.4204519
NPB///PCYT2,256933,-0.4183017
FAM115A,9747,-0.4177002
AZU1,566,-0.4175094
SLTM,79811,-0.4172718
NCAPH2,29781,-0.4169396
NPR2,4882,-0.4168463
MYO1C,4641,-0.4167742
CCL24,6369,-0.4159787
MC2R,4158,-0.4152542
APC2,10297,-0.4150691
NPW,283869,-0.4146541
BMP1,649,-0.4146096
NPBWR2,2832,-0.4143519
PLOD3,8985,-0.4141291
CRCT1,54544,-0.4136968
CACNG4,27092,-0.4128428
HIP1,3092,-0.4121108
OSCAR,126014,-0.411664
ZNF99,7652,-0.4113739
SLC6A19,340024,-0.4109344
CLPS,1208,-0.4109339
LMF1,64788,-0.4101927
SYNGR3,9143,-0.4097095
CYB561A3,220002,-0.4089946
NPAS1,4861,-0.4082302
CPEB1,64506,-0.408056
TGM7,116179,-0.4070889
ALOX12B,242,-0.4066742
TMPRSS6,164656,-0.4053591
MYOZ3,91977,-0.4051306
COL26A1,136227,-0.4050556
GRIN1,2902,-0.4021636
KRTAP1-1,81851,-0.4015832
CREB3L3,84699,-0.4012135
KRT3,3850,-0.4008688
KRTAP4-12,83755,-0.4006025
TRPV5,56302,-0.4004452
LMAN1L,79748,-0.3995115
PRTN3,5657,-0.3994212
LOC401357,401357,-0.3990322
SPNS3,201305,-0.3988864
ACP2,53,-0.3984222
SLC6A18,348932,-0.3964559
FRMD1,79981,-0.3953417
ADAP1,11033,-0.3951629
PHIP,55023,-0.3944035
IGFALS,3483,-0.3935863
ZNF518A,9849,-0.3934495
LCE3E,353145,-0.3933886
GABRD,2563,-0.3933545
KLHL36,79786,-0.3916763
LOC84214,84214,-0.3916542
HDAC7,51564,-0.3916083
GJD3,125111,-0.3911274
CCNO,10309,-0.390823
CNTNAP1,8506,-0.390728
TGFB1I1,7041,-0.3875927
SLC5A2,6524,-0.387249
RETN,56729,-0.387131
UTF1,8433,-0.3869035
SRSF2,6427,-0.3866045
FGD2,221472,-0.3861905
MVB12A,93343,-0.3847052
FUZ,80199,-0.3829307
SLC17A7,57030,-0.3824103
PCDHGA12,26025,-0.3814935
KRT71,112802,-0.3810713
GJA3,2700,-0.3809865
ADAMTSL5,339366,-0.3800166
RPS2,6187,-0.3798716
PXN,5829,-0.3765836
CDC42EP2,10435,-0.3763352
LINC01347,731275,-0.3743684
SFTPA2,729238,-0.3711579
ZNF43,7594,-0.3694844
AFF4,27125,-0.368482
ADAMTSL2,9719,-0.3680307
RABEP2,79874,-0.3663335
PSPN,5623,-0.3656421
ZBTB44,29068,-0.3651621
LHB,3972,-0.3647247
MRGPRE,116534,-0.3643551
LOC644090,644090,-0.3635214
IL27,246778,-0.3634964
MUC6,4588,-0.3619131
PDE4C,5143,-0.3618056
CSF3R,1441,-0.3613131
OTOS,150677,-0.3611054
CYP2F1,1572,-0.3610424
MAP4K2,5871,-0.3591829
BARHL1,56751,-0.3582016
ARHGEF10L,55160,-0.3572366
RTN4RL2,349667,-0.3570563
KRTAP5-9,3846,-0.3551209
MADCAM1,8174,-0.3547032
FTMT,94033,-0.3537885
PGLYRP2,114770,-0.3534813
KIAA1875,340390,-0.3531276
PRSS57,400668,-0.3500259
RHOF,54509,-0.3495046
ORAI1,84876,-0.348919
SCNN1B,6338,-0.3475005
TOLLIP,54472,-0.347007
GJA4,2701,-0.3419806
STMN3,50861,-0.341333
KCNK12,56660,-0.3399861
RALGDS,5900,-0.3399437
SLC22A11,55867,-0.3392238
CSDC2,27254,-0.3386941
HBM,3042,-0.3343472
DMWD,1762,-0.3289987
PRSS36,146547,-0.3239202
LIMS2,55679,-0.3215447
CCDC78,124093,-0.3185413
ENDOG,2021,-0.3181825
DLX3,1747,-0.317312
CALY,50632,-0.3143744
MFRP,83552,-0.3135672
EPN1,29924,-0.3123944
INE1,8552,-0.3121528
DUSP9,1852,-0.311636
ZNF665,79788,-0.3064555
MOBP,4336,-0.3042454
TIAM1,7074,-0.3033873
ZNF728,388523,-0.3030509
NR5A1,2516,-0.2999244
UPK3B,80761,-0.2994968
KLF16,83855,-0.2969782
PRR5,55615,-0.2937908
TYMP,1890,-0.2931732
KLF2,10365,-0.2911269
HGS,9146,-0.2910405
GGT6,124975,-0.2831868
MUC8,100129528,-0.2807891
UBOX5,22888,-0.2788622
NSMF,26012,-0.2670763
SPATA2L,124044,-0.2569707
ZNF141,7700,-0.2485126
GPR156,165829,-0.2403328
SH2B2,10603,-0.2398541
ZNF2,7549,-0.223655
SLC35E4,339665,-0.216945
TMEFF2,23671,0.2447802
C19orf24,55009,0.2677588
FAM127A,8933,0.2937042
DDX3X,1654,0.3189166
HNRNPD,3184,0.3196061
DNAJC4,3338,0.3259528
VILL,50853,0.3391917
SAP30L,79685,0.3445106
GOLGA4,2803,0.3507574
AFM,173,0.3555473
TAF1C,9013,0.3567078
SNX29P2,440352,0.3576636
WAC,51322,0.3594757
UBE2V1,7335,0.3622879
CA6,765,0.3637132
SLC13A1,6561,0.3641817
PCDHGC3,5098,0.3646607
LOC400620,400620,0.3666549
CCL23,6368,0.3697991
PRKACA,5566,0.3704597
AHDC1,27245,0.3715015
ASZ1,136991,0.371886
ADIG,149685,0.3734214
TRHDE,29953,0.3734965
TRPC5OS,100329135,0.3739905
ZP4,57829,0.3743433
TTTY4C,474150,0.3766342
B4GALNT3,283358,0.3811233
HAL,3034,0.3813609
CYP2C19,1557,0.3826809
DPP10,57628,0.384155
HMGB1,3146,0.3860968
ANKS4B,257629,0.3876708
C2,717,0.3884585
C11orf87,399947,0.3894412
MORF4L1,10933,0.3895219
IFNAR2,3455,0.3932525
EPHA6,285220,0.3938967
BTNL8,79908,0.4002815
ROS1,6098,0.4006889
CARD18,59082,0.4020634
LOC102724890,102724890,0.4053543
KLHL1,57626,0.4054074
IL1R2,7850,0.4073954
FAM65C,140876,0.4090615
FAM149A,25854,0.4096491
MOGS,7841,0.4113247
TNFRSF1A,7132,0.4121551
ANK1,286,0.4142732
LINC00968,100507632,0.4146065
EIF3G,8666,0.4158037
ERICH4,100170765,0.416113
ZDHHC21,340481,0.4164169
GPKOW,27238,0.4168626
CHMP3,51652,0.4170216
TRABD2A,129293,0.4176811
C11orf58,10944,0.418071
FAM69C,125704,0.4201966
CFAP221,200373,0.4203736
WNT6,7475,0.4209989
LOC729866,729866,0.4216746
FGF5,2250,0.4250289
LRRFIP2,9209,0.4261548
LINC00656,200261,0.4286436
UPF2,26019,0.4297988
POLD1,5424,0.4319844
LINC00309,150992,0.4329315
LARP4,113251,0.4343172
MAPK1IP1L,93487,0.4343716
PCDH17,27253,0.4354698
XKR5,389610,0.4355583
SLC10A7,84068,0.4357357
CDH6,1004,0.4359313
TNKS1BP1,85456,0.4364511
MIB1,57534,0.4364848
NLRP10,338322,0.436808
CENPVP1,389857,0.4369047
TMEM39B,55116,0.4392432
PAFAH1B2,5049,0.4422221
LOC403312,403312,0.4446093
EIF1,10209,0.445556
OLIG3,167826,0.4458827
GP9,2815,0.4469231
LOC100129894,100129894,0.4474557
ANKRD46,157567,0.4477558
TM9SF4,9777,0.4489422
OR1D2,4991,0.4492512
WIPI2,26100,0.4494385
KPNB1,3837,0.4500803
PURB,5814,0.4518002
GATC,283459,0.452096
PKP3,11187,0.4543868
BAALC,79870,0.4544024
GTF3C3,9330,0.4556597
VSTM4,196740,0.4556604
A3GALT2,127550,0.4558415
DIRAS2,54769,0.4558667
LMNTD1,160492,0.4559948
ATP5G2,517,0.4561382
C15orf43,145645,0.456821
ITGAD,3681,0.4576707
PIK3CD,5293,0.4581131
SELP,6403,0.4589421
RNASEK,440400,0.4592382
TYR,7299,0.4601012
ZC3H8,84524,0.4601771
KIF3B,9371,0.4636379
TMEM67,91147,0.4640025
HSP90AB1,3326,0.4642321
DCC,1630,0.4644568
DNAJC24,120526,0.4645902
CXCL5,6374,0.4649791
FAM179A,165186,0.4655925
ZCCHC17,51538,0.4663592
C11orf1,64776,0.4668301
LINC01121,400952,0.4670698
CXorf58,254158,0.4674114
UTP14A,10813,0.4682992
NMRK2,27231,0.4698893
PYHIN1,149628,0.4704003
AFTPH,54812,0.4718433
LINC00202-2,731789,0.4718848
RBM27,54439,0.472819
HINT1,3094,0.4729776
ARL8A,127829,0.4730761
FRMD8,83786,0.4735782
CBX5,23468,0.4737463
SLCO6A1,133482,0.4745176
E2F6,1876,0.4747393
EMC4,51234,0.4757319
GYPA,2993,0.475759
