No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1117,ATG9A,79065,19,726,2.61707989
1118,ATHL1,80162,14,717,1.952580195
1119,ATIC,471,25,717,3.486750349
1120,ATL1,51062,19,726,2.61707989
1121,ATL2,64225,10,726,1.377410468
1122,ATL3,25923,8,717,1.115760112
1123,ATM,472,91,726,12.53443526
1124,ATMIN,23300,9,717,1.255230126
1125,ATN1,1822,20,743,2.69179004
1126,ATOH1,474,9,726,1.239669421
1127,ATOH7,220202,3,726,0.41322314
1128,ATOH8,84913,4,726,0.550964187
1129,ATP10A,57194,89,743,11.97846568
1130,ATP10B,23120,34,717,4.741980474
1131,ATP10D,57205,28,726,3.856749311
1132,ATP11A,23250,39,717,5.439330544
1133,ATP11B,23200,27,726,3.719008264
1134,ATP11C,286410,26,743,3.499327052
1135,ATP12A,479,36,743,4.845222073
1136,ATP13A1,57130,18,743,2.422611036
1137,ATP13A2,23400,25,726,3.443526171
1138,ATP13A3,79572,32,717,4.463040446
1139,ATP13A4,84239,21,726,2.892561983
1140,ATP13A5,344905,41,743,5.518169583
1141,ATP1A1,476,25,726,3.443526171
1142,ATP1A2,477,33,726,4.545454545
1143,ATP1A3,478,21,726,2.892561983
1144,ATP1A4,480,35,726,4.820936639
1145,ATP1B1,481,5,726,0.688705234
1146,ATP1B2,482,13,726,1.790633609
1147,ATP1B3,483,3,726,0.41322314
1148,ATP1B4,23439,18,726,2.479338843
1149,ATP2A1,487,40,726,5.509641873
1150,ATP2A2,488,20,726,2.754820937
1151,ATP2A3,489,26,743,3.499327052
1152,ATP2B1,490,24,726,3.305785124
1153,ATP2B2,491,52,726,7.162534435
1154,ATP2B3,492,41,717,5.718270572
1155,ATP2B4,493,31,717,4.323570432
1156,ATP2C1,27032,16,726,2.203856749
1157,ATP2C2,9914,20,726,2.754820937
1158,ATP4A,495,40,726,5.509641873
1159,ATP4B,496,5,726,0.688705234
1160,ATP5A1,498,15,726,2.066115702
1161,ATP5B,506,13,726,1.790633609
1162,ATP5C1,509,11,726,1.515151515
1163,ATP5EP2,432369,2,717,0.278940028
1164,ATP5F1,515,4,726,0.550964187
1165,ATP5G1,516,1,726,0.137741047
1166,ATP5G2,517,1,717,0.139470014
1167,ATP5G3,518,3,726,0.41322314
1168,ATP5H,10476,1,726,0.137741047
