No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
429,NKX2-3,159296,1,5,20
430,NLGN2,57555,1,5,20
431,NOL11,25926,1,5,20
432,NOL8,55035,1,5,20
433,NOTCH1,4851,1,15,6.666666667
434,NOTCH2,4853,2,85,2.352941176
435,NOTCH3,4854,2,7,28.57142857
436,NOTCH4,4855,2,35,5.714285714
437,NPAS3,64067,1,5,20
438,NRAP,4892,1,5,20
439,NRP1,8829,1,5,20
440,NT5DC1,221294,1,5,20
441,NTN4,59277,1,5,20
